icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
17,12/28/2010,9/6/2018,2010,ICSA-10-362-01,Ecava IntegraXor Directory Traversal,Ecava,IntegraXor,All IntegraXor versions prior to Version 3.6 (Build 4000.0),"CVE-2010-4599, CVE-2010-4598",6.0,Medium,CWE-22,Multiple Critical Sectors,"Australia, Canada, Estonia, United Kingdom, Malaysia, Poland, United states",Malaysia,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
16,11/12/2010,9/6/2018,2010,ICSA-10-316-01A,Intellicom NetBiter WebSCADA Vulnerabilities (Update A),Intellicom,NeBiter,Intellicom NetBiter (NB100 and NB200 platforms): WebSCADA (WS100) WebSCADA (WS200) Easy Connect (EC150) Modbus RTU - TCP Gateway (MB100) Serial Ethernet Server (SS100),CVE-NA,Not Applicable,Not Applicable,CWE-22,Critical Manufacturing; Commercial Facilities; Communications; Energy; Government Facilities,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
15,11/18/2010,4/29/2013,2010,ICSA-10-322-01,Ecava IntegraXor Buffer Overflow,Ecava,IntegraXor,All IntegraXor versions prior to v3.5 (Build 3900.10),CVE-2010-4597,10.0,High,CWE-119,Multiple Critical Sectors,Worldwide,Malaysia,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
14,11/18/2010,8/28/2013,2010,ICSA-10-322-02A,Automated Solutions OPC Vulnerability (Update),Automated Solutions,OPC,Automated Solutions Modbus/TCP Master OPC Server product (Version 3.0.0) and all previous versions,CVE-NA,Not Applicable,Not Applicable,CWE-119,Multiple Critical Sectors,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
13,10/28/2010,8/23/2018,2010,ICSA-10-301-01A,MOXA Device Manager Buffer Overflow (Update A),Moxa,Device Manager,MOXA Device Manager Version 2.1,CVE-2010-4741,9.3,High,CWE-119,Energy; Critical Manufacturing; Communications; Healthcare and Public Health,"China, Germany, Taiwan, United States",Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
12,11/9/2010,9/6/2018,2010,ICSA-10-313-01,RealFlex RealWin Buffer Overflow,RealFlex Technologies,RealWin,All RealWin versions up to and including Version 2.1.8 (Build 6.1.8),CVE-2010-4142,10.0,High,CWE-119,Chemical; Critical Manufacturing; Communications; Energy; Oil and Gas; Transportation Systems; Maritime; Water and Wastewater,"Ireland, Russia",United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
11,9/29/2010,9/6/2018,2010,ICSA-10-272-01,Primary Stuxnet Advisory,Siemens,Siemens WinCC and STEP 7 software,Siemens WinCC and STEP 7 software,CVE-2010-4142,6.9,Medium,CWE-255,Multiple Critical Sectors,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
10,9/21/2010,9/6/2018,2010,ICSA-10-264-01,SCADA Engine BACnet OPC Client Buffer Overflow Vulnerability,SCADA Engine,BACnet OPC Client,SCADA Engine Version 1.0.24 and older.,CVE-2010-4740,9.3,High,CWE-119,Commercial Facilities,"Singapore, Thailand, Australia",Australia,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
9,8/26/2010,1/8/2014,2010,ICSA-10-238-01B,Stuxnet Malware Mitigation (Update B),Siemens,Siemens WinCC and STEP 7 software,Windows XP Windows Vista Windows 7 Windows Server 2008 Windows Server 2008 R2,"CVE-2010-2568, CVE-2008-4250",8.1,High,"CWE-20, CWE-94",Multiple Critical Sectors,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
8,8/16/2010,5/8/2013,2010,ICSA-10-228-01,Vendor Admin Accounts Warning,Vendor Admin,Vendor Admin Vulnerability,New Control System Software,CVE-NA,Not Applicable,Not Applicable,CWE-NA,Multiple Critical Sectors,Worldwide,Not Applicable,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
7,7/20/2010,1/8/2014,2010,ICSA-10-201-01C,USB Malware Targeting Siemens Control Software (Update C),Siemens,Siemens WinCC and STEP 7 software,SIMATIC WinCC SIMATIC Siemens STEP 7 Windows XP SP 3 Windows XP Professional x64 Edition SP 2 Windows Server 2003 SP 2 Windows Server 2003 x64 Edition SP 2 Windows Server 2003 with SP2 for Itanium-based Systems Windows Vista SP 1 Windows Vista SP 2 Windows Vista x64 Edition SP 1 Windows Vista x64 Edition SP 2 Windows Server 2008 for 32-bit Systems Windows Server 2008 for 32-bit Systems SP 2 Windows Server 2008 for x64-based Systems Windows Server 2008 for x64-based Systems SP 2 Windows Server 2008 for Itanium-based Systems Windows Server 2008 for Itanium-based Systems SP 2 Windows 7 for 32-bit Systems Windows 7 for x64-based Systems Windows Server 2008 R2 for x64-based Systems Windows Server 2008 R2 for Itanium-based Systems,CVE-2010-2568,8.1,High,CWE-20,Multiple Critical Sectors,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
6,8/2/2010,9/6/2018,2010,ICSA-10-214-01,Wind River VxWorks Vulnerabilities,Wind River,VxWorks,VxWorks,"CVE-2010-2966, CVE-2010-2967",7.8,High,"CWE-255, CWE-310",Critical Manufacturing; Defense Industrial Base; Healthcare and Public Health,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
5,5/27/2010,9/9/2014,2010,ICSA-10-147-01,Cisco Network Building Mediator,Cisco,Network Building Mediator (NBM),Richards-Zeta Mediator 2500 product Cisco Network Building Mediator NBM-2400 Cisco Network Building Mediator NBM-4800 All Mediator Framework software releases prior to 3.1.1,"CVE-2010-0600, CVE-2010-0597, CVE-2010-0596",9.3,High,CWE-264,Commercial Facilities; Energy; Government Facilities; Information Technology,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4,3/11/2010,8/23/2018,2010,ICSA-10-070-01A,Rockwell Automation RSLinx Classic EDS Vulnerability (Update A),Rockwell Automation,RSLinx Classic EDS,EDS Hardware Installation Tool Version 1.0.5.1 and earlier,CVE-2011-2530,10.0,High,CWE-119,Multiple Critical Sectors,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
3,4/7/2010,9/6/2018,2010,ICSA-10-097-01,ABB NETCADOPS HELP SYSTEM VULNERABILITY,ABB,netCADOPS,All releases of the ABB netCADOPS product (netCADOPS web-based online Help),CVE-NA,Not Applicable,Not Applicable,CWE-79,Energy,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
