icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
4558,1/13/2026,1/13/2026,2026,ICSA-26-013-01,Rockwell Automation 432ES-IG3 Series A,Rockwell Automation,Rockwell Automation 432ES-IG3 Series A,Rockwell Automation 432ES-IG3 Series A: V1.001,CVE-2025-9368,7.5,High,CWE-770,Critical Manufacturing,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4557,1/13/2026,1/13/2026,2026,ICSA-26-013-02,Rockwell Automation FactoryTalk DataMosaix Private Cloud,Rockwell Automation,Rockwell Automation FactoryTalk DataMosaix Private Cloud,"Rockwell Automation FactoryTalk DataMosaix Private Cloud: 7.11, Rockwell Automation FactoryTalk DataMosaix Private Cloud: 8.00, Rockwell Automation FactoryTalk DataMosaix Private Cloud: 8.01",CVE-2025-12807,8.8,High,CWE-89,Critical Manufacturing,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4556,1/13/2026,1/13/2026,2026,ICSA-26-013-03,YoSmart YoLink Smart Hub,YoSmart,YoSmart YoLink Smart Hub,YoSmart server: vers:all/*,"CVE-2025-59449, CVE-2025-59452, CVE-2025-59448, CVE-2025-59451",5.8,Medium,"CWE-319, CWE-340, CWE-863",Communications,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4555,1/8/2026,1/8/2026,2026,ICSA-26-008-01,Hitachi Energy Asset Suite,Hitachi Energy,Hitachi Energy Asset Suite,Asset Suite versions 9.7 and prior,CVE-2025-10492,9.8,Critical,CWE-502,Energy,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4554,1/6/2026,1/6/2026,2026,ICSA-26-006-01,Columbia Weather Systems MicroServer,Columbia Weather Systems,Columbia Weather Systems MicroServer,Columbia Weather Systems MicroServer firmware: <MS_4.1_14142,"CVE-2025-61939, CVE-2025-64305, CVE-2025-66620",8.8,High,"CWE-313, CWE-553, CWE-923",Information Technology,United States,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
