icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
985,10/17/2018,1/31/2019,2018,ICSA-18-290-01,Omron CX-Supervisor (Update A),Omron,CX-Supervisor,The following versions of CX-Supervisor are affected: CX-Supervisor Versions 3.4.1.0 and prior.,"CVE-2018-17905, CVE-2018-17907, CVE-2018-17909, CVE-2018-17913",7,High,"CWE-119, CWE-704, CWE-125, CWE-416",Energy,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
984,10/16/2018,1/15/2019,2018,ICSA-18-289-01,LCDS - Leao Consultoria e Desenvolvimento de Sistemas Ltda ME LAquis SCADA,LCDS - Leao Consultoria e Desenvolvimento de Sistemas Ltda ME,LAquis SCADA,The following versions of LAquis SCADA - industrial automation software are affected: Smart Security Manager Versions 4.1.0.3870 and prior.,"CVE-2018-17893, CVE-2018-17895, CVE-2018-17897, CVE-2018-17899, CVE-2018-17901, CVE-2018-17911",7.8,High,"CWE-22, CWE-680, CWE-125, CWE-787, CWE-121, CWE-822",Chemical; Commercial Facilities; Energy; Food and Agriculture; Transportation Systems; Water and Wastewater,"Brazil, South America",Brazil,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
983,10/11/2018,10/11/2018,2018,ICSA-18-284-01,NUUO NVRmini2 and NVRsolo,NUUO,NVRmini2 and NVRsolo,The following versions of Nuuo NVRmini2 and NVRsolo - network video recorders are affected: All Versions 3.8.0 and prior.,"CVE-2018-1149, CVE-2018-1150",10,Critical,"CWE-489, CWE-121",Commercial Facilities; Financial Services; Government Facilities; Healthcare and Public Health; Transportation Systems,Worldwide,Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
982,10/11/2018,11/20/2018,2018,ICSA-18-284-02,NUUO CMS (Update A),NUUO,CMS,The following versions of NUUO CMS - central software management platform are affected: CMS Versions 3.1 and prior. CMS Versions 3.3 and prior.,"CVE-2018-17888, CVE-2018-17890, CVE-2018-17892, CVE-2018-17894, CVE-2018-17934, CVE-2018-17936, CVE-2018-18982",9.8,Critical,"CWE-22, CWE-89, CWE-732, CWE-434, CWE-798, CWE-330, CWE-477",Commercial Facilities; Financial Services; Government Facilities; Healthcare and Public Health; Transportation Systems,Worldwide,Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
981,10/11/2018,10/11/2018,2018,ICSA-18-284-03,Delta Industrial Automation TPEditor,Delta Electronics,TPEditor,The following versions of Delta Industrial Automation TPEditor - programming software for Delta text panels operating on Windows are affected: TPEditor Versions 1.90 and prior.,"CVE-2018-17929, CVE-2018-17927",6.6,Medium,"CWE-787, CWE-121",Critical Manufacturing,Worldwide,Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
980,10/9/2018,10/9/2018,2018,ICSA-18-282-01,GE iFix,GE,iFix,GE reports this vulnerability in a Gigasoft component affects the following iFix HMI products: iFIX 2.0 - 5.0 | iFIX 5.1 | iFIX 5.5 and iFIX 5.8 Gigasoft components older than Version 8.0 are likely to be used in other products from other vendors also.,CVE-2018-17925,5.3,Medium,CWE-623,Multiple Critical Sectors,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
979,10/9/2018,10/9/2018,2018,ICSA-18-282-02,Siemens SCALANCE W1750D,Siemens,SCALANCE W1750D,Siemens reports the vulnerability affects the following SCALANCE W1750D products: SCALANCE W1750D: All versions prior to v8.3.0.1.,CVE-2017-13099,5.9,Medium,CWE-310,Chemical; Energy; Food and Agriculture; Healthcare and Public Health; Transportation Systems; Water and Wastewater,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
978,10/9/2018,10/9/2018,2018,ICSA-18-282-03,Siemens ROX II,Siemens,ROX II,Siemens reports these vulnerabilities affect the following ROX II products: ROX II: All versions prior to v2.12.1.,"CVE-2018-13801, CVE-2018-13802",8.8,High,CWE-269,Energy; Healthcare and Public Health; Transportation Systems,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
977,10/9/2018,10/9/2018,2018,ICSA-18-282-04,Siemens SIMATIC S7-1200 CPU Family Version 4,Siemens,SIMATIC S7-1200 CPU Family Version 4,Siemens reports the vulnerability affects the following SIMATIC S7-1200 CPU products: SIMATIC S7-1200 CPU Family Version 4: All versions prior to 4.2.3.,CVE-2018-13800,7.5,High,CWE-352,Chemical; Energy; Food and Agriculture; Healthcare and Public Health; Transportation Systems; Water and Wastewater,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
976,10/9/2018,2/12/2019,2018,ICSA-18-282-05,"Siemens SIMATIC S7-1500, SIMATIC S7-1500 Software Controller and SIMATIC ET 200SP OpenController (Update A)",Siemens,"SIMATIC S7-1500, SIMATIC S7-1500 Software Controller and SIMATIC ET 200SP OpenController",Siemens reports that this vulnerability affects the following products and versions: Simatic S7-1500 (incl. F) | all versions prior to v2.5 down to and including v2.0 | Simatic S7-1500 Software Controller all versions prior to v2.5 down to and including v2.0 | Simatic ET 200SP Open Controller all versions prior to v2.5 down to and including v2.0.,CVE-2018-13805,5.3,Medium,CWE-20,Chemical; Critical Manufacturing; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
975,10/9/2018,10/9/2018,2018,ICSA-18-282-06,"Hangzhou Xiongmai Technology Co., Ltd XMeye P2P Cloud Server","Hangzhou Xiongmai Technology Co., Ltd",XMeye P2P Cloud Server,"All products using XMeye P2P Cloud Server are affected. Hangzhou Xiongmai Technology Co. Ltd acts primarily as an Original Equipment Manufacturer (OEM) and sells few - if any Xiongmai-branded products. Various vendors sell branded devices with Hangzhou Xiongmai Technology Co. Ltd hardware/firmware inside. Use the following methods to check the hardware/firmware: Check if the product documentation/specifications mention the ""XMEye"" feature.Access the err.htm page on the device (http: //<Camera IP Address>/err.htm). Xiongmai or XMeye will be referenced.","CVE-2018-17917, CVE-2018-17919, CVE-2018-17915",8.1,High,"CWE-912, CWE-311, CWE-341",Multiple Critical Sectors,Worldwide,China,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
974,10/9/2018,10/9/2018,2018,ICSA-18-282-07,Fuji Electric Energy Savings Estimator,Fuji Electric,Energy Savings Estimator,The following versions of Fuji Electric Smart Security Manager - software management platform are affected: Fuji Electric Energy Savings Estimator Versions V.1.0.2.0 and prior.,CVE-2018-14812,7.3,High,CWE-427,Critical Manufacturing; Energy,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
973,10/4/2018,10/4/2018,2018,ICSMA-18-277-01,Carestream Vue RIS,Carestream,Vue RIS,The following versions of Carestream Vue RIS - web-based radiology information system are affected: RIS Client Builds: Version 11.2 and prior running on a Windows 8.1 machine with IIS/7.5.,CVE-2018-17891,3.7,Low,CWE-209,Healthcare and Public Health,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
972,10/4/2018,10/4/2018,2018,ICSMA-18-277-02,Change Healthcare PeerVue Web Server,Change Healthcare,PeerVue Web Server,Change Healthcare reports the vulnerability affects the following product: PeerVue Web Server all versions up to 7.6.2.,CVE-2018-10624,4.3,Medium,CWE-209,Healthcare and Public Health,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
971,10/2/2018,10/2/2018,2018,ICSA-18-275-01,Delta Electronics ISPSoft,Delta Electronics,ISPSoft,The following versions of ISPSoft - PLC program development tool are affected: ISPSoft Version 3.0.5 and prior.,CVE-2018-14800,5.3,Medium,CWE-121,Critical Manufacturing,Worldwide,Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
970,10/2/2018,10/2/2018,2018,ICSA-18-275-02,GE Communicator,GE,Communicator,The following versions of Communicator - application for programming and monitoring supported metering devices are affected: Third party product Gigasoft | v5 and prior included in Communicator 3.15 and prior.,CVE-2017-7908,7.6,High,CWE-122,Critical Manufacturing; Energy,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
969,10/2/2018,10/2/2018,2018,ICSA-18-275-03,Entes EMG 12,Entes,EMG 12,The following versions of EMG 12 - Ethernet Modbus Gateway are affected: EMG12 Ethernet Modbus Gateway Firmware Version 2.57 and prior.,"CVE-2018-14826, CVE-2018-14822",9.8,Critical,"CWE-287, CWE-598",Critical Manufacturing; Energy,Worldwide,Turkey,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
968,9/27/2018,9/27/2018,2018,ICSA-18-270-01,Emerson AMS Device Manager,Emerson,AMS Device Manager,The following versions of AMS Device Manager - Asset Management System are affected: AMS Device Manager: v12.0 to v13.5.,"CVE-2018-14804, CVE-2018-14808",10,Critical,"CWE-284, CWE-269",Chemical; Energy,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
967,9/27/2018,2/7/2019,2018,ICSA-18-270-02,Fuji Electric Alpha5 Smart Loader (Update A),Fuji Electric,Alpha5 Smart Loader,The following versions of Alpha5 Smart Loader - servo drive are affected: Alpha5 Smart Loader Versions 3.7 and prior.,"CVE-2018-14788, CVE-2018-14794",9.8,Critical,"CWE-120, CWE-122",Commercial Facilities; Critical Manufacturing,"Japan, Asia, Europe",Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
966,9/27/2018,2/14/2019,2018,ICSA-18-270-03,Fuji Electric FRENIC Devices (Update A),Fuji Electric,FRENIC Devices,The following versions of FRENIC Loader | FRENIC-Mini (C1) | FRENIC-Mini (C2) | FRENIC-Eco | FRENIC-Multi | FRENIC-MEGA | FRENIC-Ace | HVAC drive devices are affected: FRENIC LOADER v3.3 v7.3.4.1a of FRENIC-Mini (C1) | FRENIC-Mini (C2) | FRENIC-Eco | FRENIC-Multi | FRENIC-MEGA | FRENIC-Ace.,"CVE-2018-14790, CVE-2018-14798, CVE-2018-14802",9.8,Critical,"CWE-126, CWE-125, CWE-121",Commercial Facilities,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
965,9/27/2018,9/27/2018,2018,ICSA-18-270-04,Delta Electronics Delta Industrial Automation PMSoft,Delta Electronics,Delta Industrial Automation PMSoft,The following versions of Delta Industrial Automation PMSoft - software development tool for motion controllers are affected: Delta Industrial Automation PMSoft v2.11 or prior.,CVE-2018-14824,4.3,Medium,CWE-125,Critical Manufacturing,Worldwide,Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
